Name,Price,Date
MSI NVIDIA GeForce GTX 1080 Gaming X 8GB Graphics Card,210.0,10 Mar 2020
Nvidia GEFORCE GTX 1080 STRIX Gaming Graphics Card 8GB VR Ready,260.0,10 Mar 2020
EVGA GTX 1080 SC GAMING 8G Graphics Card 8GB GPU,294.99,10 Mar 2020
Nvidia Geforce GTX 1080 Founders Edition 8GB,250.0,11 Mar 2020
EVGA GTX 1080 SC,280.0,12 Mar 2020
"EVGA GeForce GTX 1080 SC2 GAMING, 08G-P4-6583-KR, 8GB GDDR5X, iCX Graphics Card",245.0,13 Mar 2020
EVGA GTX 1080 FTW2 Gaming  Graphics Card 8GB GDDR5 Pascal Chipset iCX Cooling,232.0,13 Mar 2020
Gigabyte Windforce Nvidia GeForce GTX 1080 8GB DDR5X Gaming Graphics Card ,279.0,13 Mar 2020
EVGA NVIDIA GeForce GTX 1080 FTW2 8GB GDDR5X Graphics Card VR Ready,405.0,13 Mar 2020
Gigabyte Windforce Nvidia GeForce GTX 1080 8GB DDR5X Gaming Graphics Card ,279.0,14 Mar 2020
EVGA Geforce GTX 1080 FTW 8GB,289.99,14 Mar 2020
MSI GTX 1080 SEA HAWK EK X 8GB GDDR5X Water Block Cooled Gaming Graphics Card,295.0,14 Mar 2020
EVGA GTX 1080 SC,250.0,14 Mar 2020
ASUS ROG GeForce STRIX-GTX1080  8 GB Overclocked Gaming Graphics Card,250.0,14 Mar 2020
MSI GTX 1080 AERO 8G Gaming Graphics Card 8GB GPU + BOX,284.99,15 Mar 2020
Used MSI Geforce GTX 1080 Gaming X 8GB graphic card NVIDIA very good condition,255.0,15 Mar 2020
ASUS ROG STRIX-GTX1080-A8G-GAMING,280.0,15 Mar 2020
MSI GTX 1080 AERO 8G Gaming Graphics Card 8GB GPU + BOX,284.99,15 Mar 2020
EVGA GTX 1080 SC GAMING 8G Graphics Card 8GB GPU *BOXED*,299.99,16 Mar 2020
MSI GeForce GTX 1080 AERO OC 8GB GDDR5X Gaming Graphics Card,263.89,16 Mar 2020
Palit Nvidia Geforce 1080 GTX Super Jetstream 8Gb,280.0,17 Mar 2020
Gigabyte Nvidia GeForce GTX 1080 G1 OC Windforce 8GB GDDR5X GPU Graphics Card  ,289.0,17 Mar 2020
ASUS GeForce GTX 1080 Turbo 8GB,269.99,17 Mar 2020
 ZOTAC NVIDIA GeForce GTX 1080 Blower 8GB GDDR5X Graphic card,260.0,17 Mar 2020
EVGA Nvidia GeForce GTX SC ACX3.0 1080 8GB DDR5X Gaming Graphics Card.,312.0,18 Mar 2020
EVGA Nvidia GeForce GTX SC ACX3.0 1080 8GB DDR5X Gaming Graphics Card CLEARANCE!,299.0,18 Mar 2020
Gigabyte GeForce GTX 1080 Mini ITX - 8GB GDDR5X 256bit Memory - Boxed Complete,300.0,19 Mar 2020
Zotac GTX 1080 8GB DDR5X VR Ready GPU,267.0,19 Mar 2020
EVGA Nvidia GeForce GTX SC ACX3.0 1080 8GB DDR5X Gaming Graphics Card.,312.0,19 Mar 2020
EVGA Nvidia GeForce GTX SC ACX3.0 1080 8GB DDR5X Gaming Graphics Card CLEARANCE!,299.0,20 Mar 2020
MSI GTX 1080 AERO OC 8GB GDDR5X GeForce Gaming Graphics Card,266.89,21 Mar 2020
EVGA Nvidia GeForce GTX 1080 FOUNDERS EDITION TURBO 8GB GPU Graphics Card,262.59,21 Mar 2020
Asus GTX 1080 Strix 8GB DDR5X Republc Of Gamers Graphics Card,319.0,22 Mar 2020
Gigabyte GeForce GTX  1080 G1 Gaming,265.0,22 Mar 2020
"PALIT GTX 1080 GAMEROCK PREMIUM EDITION 8GB GDDR5X 256bit, 2560 Core, 1746MHz",260.0,22 Mar 2020
5%OEVGA GeForce GTX 1080 FOUNDERS EDITION 8G Graphics Card 8GB GPU *BOXED*,309.99,22 Mar 2020
Nvidia GeForce GTX 1080 (HP OEM),280.0,22 Mar 2020
Gigabyte Nvidia GeForce GTX 1080G1-8Gb-excellent condition,295.0,22 Mar 2020
